source,name,n,capacity,bf_time,dp_time,gr_time,bf_val,dp_val,gr_val,gr_ratio
jooken,jooken/n_400_c_1000000_g_10_f_0.3_eps_0.001_s_200,400,1000000,,29.648341457999777,6.745899736415595e-05,,1008599,1008167,0.9995716830970485
jooken,jooken/n_400_c_1000000_g_14_f_0.3_eps_0.0001_s_100,400,1000000,,30.790729042011662,6.920799205545336e-05,,1005591,1005537,0.999946300235384
jooken,jooken/n_400_c_1000000_g_2_f_0.2_eps_0_s_100,400,1000000,,19.508087750000414,6.395799573510885e-05,,503886,503883,0.9999940462723711
jooken,jooken/n_400_c_1000000_g_6_f_0.1_eps_0.001_s_100,400,1000000,,26.51336724999419,8.033300400711596e-05,,1001600,997586,0.9959924121405751
jooken,jooken/n_400_c_1000000_g_6_f_0.1_eps_0.1_s_100,400,1000000,,23.867556833007257,6.60419900668785e-05,,996005,952520,0.9563405806195752
jooken,jooken/n_600_c_10000000000_g_10_f_0.1_eps_0.001_s_200,600,10000000000,,,0.00011558299593161792,,,9995332695,
jooken,jooken/n_600_c_10000000000_g_10_f_0.3_eps_0.0001_s_200,600,10000000000,,,0.00011037499643862247,,,9992373598,
jooken,jooken/n_600_c_10000000000_g_10_f_0.3_eps_1e-05_s_300,600,10000000000,,,0.00015091701061464846,,,9989314231,
jooken,jooken/n_600_c_10000000000_g_2_f_0.2_eps_0.1_s_300,600,10000000000,,,0.00010775000555440784,,,6000018158,
jooken,jooken/n_600_c_10000000000_g_6_f_0.2_eps_0.0001_s_100,600,10000000000,,,0.00011479100794531405,,,9711508666,
jooken,jooken/n_600_c_100000000_g_10_f_0.1_eps_0.001_s_200,600,100000000,,,0.00011054100468754768,,,99964417,
jooken,jooken/n_600_c_100000000_g_10_f_0.3_eps_0.0001_s_100,600,100000000,,,0.00010091600415762514,,,99939718,
jooken,jooken/n_600_c_100000000_g_14_f_0.1_eps_0.0001_s_100,600,100000000,,,0.00010837499576155096,,,100006264,
jooken,jooken/n_600_c_100000000_g_14_f_0.2_eps_0_s_300,600,100000000,,,0.00011033400369342417,,,100021643,
jooken,jooken/n_600_c_100000000_g_2_f_0.1_eps_0.0001_s_100,600,100000000,,,0.00012616600724868476,,,50013056,
jooken,jooken/n_600_c_100000000_g_2_f_0.1_eps_0_s_200,600,100000000,,,0.0001261669967789203,,,50005798,
jooken,jooken/n_600_c_100000000_g_2_f_0.2_eps_0.0001_s_200,600,100000000,,,0.00010820799798239022,,,50022751,
jooken,jooken/n_600_c_100000000_g_2_f_0.2_eps_1e-05_s_200,600,100000000,,,0.00013829200179316103,,,50013120,
jooken,jooken/n_600_c_1000000_g_10_f_0.1_eps_0.001_s_200,600,1000000,,43.889025917000254,9.483301255386323e-05,,1009921,1009921,1.0
jooken,jooken/n_600_c_1000000_g_10_f_0.1_eps_0.01_s_300,600,1000000,,43.5056997500069,0.00012329099990893155,,1011229,1010345,0.9991258162097804
jooken,jooken/n_600_c_1000000_g_10_f_0.3_eps_1e-05_s_100,600,1000000,,44.98755941700074,9.891700756270438e-05,,1007145,1007024,0.9998798584116487
jooken,jooken/n_600_c_1000000_g_14_f_0.1_eps_0.001_s_300,600,1000000,,45.38480362499831,9.750000026542693e-05,,1021128,1021055,0.9999285104316011
jooken,jooken/n_600_c_1000000_g_14_f_0.2_eps_0.1_s_200,600,1000000,,42.37391279099393,9.883299935609102e-05,,1005094,974213,0.9692755105492621
jooken,jooken/n_600_c_1000000_g_2_f_0.3_eps_0.0001_s_200,600,1000000,,32.038355625001714,9.83339996309951e-05,,518078,518075,0.9999942093661572
jooken,jooken/n_600_c_1000000_g_6_f_0.2_eps_0_s_100,600,1000000,,42.3185297089949,9.84170037554577e-05,,977503,976827,0.9993084420201268
jooken,jooken/n_600_c_1000000_g_6_f_0.3_eps_0.001_s_200,600,1000000,,43.43563616600295,9.870799840427935e-05,,1008485,984518,0.9762346490032078
jooken,jooken/n_600_c_1000000_g_6_f_0.3_eps_0.01_s_200,600,1000000,,42.59032237500651,0.00010579200170468539,,1008564,1003020,0.9945030756600474
jooken,jooken/n_800_c_10000000000_g_10_f_0.1_eps_0.1_s_200,800,10000000000,,,0.0001621249975869432,,,9507821862,
jooken,jooken/n_800_c_10000000000_g_10_f_0.2_eps_0.001_s_100,800,10000000000,,,0.00014141600695438683,,,9996735097,
jooken,jooken/n_800_c_10000000000_g_14_f_0.2_eps_0.0001_s_100,800,10000000000,,,0.00014529100735671818,,,9999722605,
jooken,jooken/n_800_c_10000000000_g_14_f_0.3_eps_0.001_s_300,800,10000000000,,,0.00015433299995493144,,,9992921339,
jooken,jooken/n_800_c_10000000000_g_14_f_0.3_eps_1e-05_s_300,800,10000000000,,,0.00014716699661221355,,,9999699858,
jooken,jooken/n_800_c_10000000000_g_2_f_0.2_eps_0.0001_s_200,800,10000000000,,,0.00015295800403691828,,,5001014608,
jooken,jooken/n_800_c_10000000000_g_2_f_0.2_eps_1e-05_s_100,800,10000000000,,,0.00015404199075419456,,,5000107963,
jooken,jooken/n_800_c_10000000000_g_6_f_0.1_eps_0.0001_s_200,800,10000000000,,,0.00014474999625235796,,,9716512437,
jooken,jooken/n_800_c_10000000000_g_6_f_0.1_eps_1e-05_s_100,800,10000000000,,,0.00014124999870546162,,,9690506375,
jooken,jooken/n_800_c_10000000000_g_6_f_0.1_eps_1e-05_s_200,800,10000000000,,,0.00014450000890064985,,,9690513423,
jooken,jooken/n_800_c_100000000_g_10_f_0.2_eps_0.0001_s_300,800,100000000,,,0.00014449999434873462,,,99951867,
jooken,jooken/n_800_c_100000000_g_14_f_0.3_eps_0.001_s_100,800,100000000,,,0.00014458299847319722,,,99958127,
jooken,jooken/n_800_c_100000000_g_6_f_0.1_eps_0.1_s_300,800,100000000,,,0.0001511250011390075,,,98139069,
jooken,jooken/n_800_c_100000000_g_6_f_0.2_eps_0_s_200,800,100000000,,,0.0001440839987481013,,,96895566,
jooken,jooken/n_800_c_100000000_g_6_f_0.3_eps_0_s_100,800,100000000,,,0.00015116600843612105,,,96889303,
jooken,jooken/n_800_c_1000000_g_10_f_0.1_eps_0.0001_s_100,800,1000000,,59.32559570900048,0.00013183399278204888,,1006050,1005962,0.9999125291983499
jooken,jooken/n_800_c_1000000_g_10_f_0.3_eps_0_s_100,800,1000000,,60.91574962501181,0.00014933299098629504,,1009064,1009047,0.9999831527038919
jooken,jooken/n_800_c_1000000_g_14_f_0.1_eps_0.001_s_100,800,1000000,,61.36533875000896,0.00013766599295195192,,1008745,1008724,0.999979182052947
jooken,jooken/n_800_c_1000000_g_2_f_0.1_eps_0.0001_s_100,800,1000000,,36.33135716700053,0.00013491699064616114,,504096,504095,0.9999980162508728
jooken,jooken/n_800_c_1000000_g_2_f_0.1_eps_0.001_s_200,800,1000000,,36.21413374999247,0.0001342089963145554,,508943,508940,0.9999941054302741
jooken,jooken/n_800_c_1000000_g_2_f_0.1_eps_0.01_s_300,800,1000000,,35.6739988749905,0.0001340000017080456,,522135,522134,0.9999980847865015
